Publisher Name,Series Name,Full Title,Release Date,In Collection,In Wish List,Marked Read,My Rating,Media Format,Price Paid,Date Purchased,Condition,Notes,Tags
DC Comics,Absolute Batman (2024 - Present),Absolute Batman #1 8th Printing Jae Lee Virgin Variant,2025-09-17,1,0,1,5.0,Print,27.59,2026-01-30,,,Bluechip
DC Comics,The Adventures of Superman (Vol. 1) (1987 - 2006),The Adventures of Superman #500,1993-04-15,1,0,0,,Print,2.69,2026-06-02,,,Bluechip
Marvel Comics,The Amazing Spider-Man (Vol. 4) (2015 - 2018),The Amazing Spider-Man #800 Frank Cho Variant,2018-05-30,1,0,0,,Print,3.13,2026-06-02,,,Bluechip
DC Comics,Batman and Robin (Vol. 1) (2009 - 2011),Batman and Robin Vol. 1: Batman Reborn TP,2011-04-05,1,0,0,,Print,16.87,2026-01-24,,,Excellent Read
DC Comics,Batman Day 2022: Batman's Mystery Casebook ? Special Edition (2022),Batman's Mystery Casebook ? Batman Day Special Edition #1,2022-09-17,1,0,0,,Print,,,,Gifted (Uncle Dominic),Excellent Read
BOOM! Studios,BRZRKR (2021 - 2023),BRZRKR Vol. 1 TP,2021-09-29,1,0,0,,Print,8.82,2026-01-24,,,Sleeper
DC Comics,Camelot 3000 (1982 - 1985),Camelot 3000 #1,1982-09-16,1,0,0,,Print,1.56,2026-06-02,,,Bluechip
DC Comics,Catwoman (Vol. 5) (2018 - Present),Catwoman Vol. 1: Copycats TP,2019-04-10,1,0,0,,Print,9.83,2026-01-26,,,Excellent Read
DC Comics,DC / Marvel: Batman / Deadpool (2025),DC / Marvel: Batman / Deadpool #1,2025-11-19,1,0,0,,Print,,,,Gifted (Uncle Dominic),Bluechip
DC Comics,DC / Marvel: Superman / Spider-Man (2026),DC / Marvel: Superman / Spider-Man #1,2026-03-25,1,0,0,,Print,,,,Gifted (Dominic),"Bluechip, Excellent Read, Sleeper"
DC Comics,DC's Year of the Villain Special (2019),DC's Year of the Villain Special #1,2019-05-01,1,0,0,,Print,,,,Gifted (Uncle Dominic),Bluechip
Image Comics,Decorum (2020 - 2021),Decorum #1,2020-03-11,1,0,0,,Print,1.56,,,,Sleeper
DC Comics,Detective Comics (Vol. 1) (1937 - 2011),Detective Comics #600,1989-04-06,1,0,0,,Print,3.13,2026-06-02,,,Bluechip
Image Comics,Edenwood (2023 - Present),Edenwood #5,2024-02-28,1,0,1,3.5,Print,1.65,2026-01-24,,,Tradable
Marvel Comics,Edge of Spider-Verse (Vol. 1) (2014),Edge of Spider-Verse #1,2014-09-10,1,0,0,,Print,0.66,2026-02-04,,,Sleeper
Valiant,Eternal Warrior (Vol. 1) (1992 - 1996),Eternal Warrior #20,1994-03-01,1,0,0,,Print,0.66,2026-02-04,,,
DC Comics,The Fury of Firestorm (1982 - 1987),The Fury of Firestorm #42,1985-08-13,1,0,0,,Print,0.66,2026-02-04,,,
